gene	keyTerm
Papss1	Complete proteome
Papss1	Proteomics identification
Papss1	Reference proteome
Papss1	Purine metabolism
Papss1	Selenocompound metabolism
Papss1	Sulfur metabolism
Papss1	Metabolic pathways
Papss1	Biosynthesis of antibiotics
Papss1	sulfate assimilation
Papss1	selenium compound metabolic process
Papss1	phosphorylation
Papss1	3'-phosphoadenosine 5'-phosphosulfate biosynthetic process
Papss1	cytosol
Papss1	adenylylsulfate kinase activity
Papss1	sulfate adenylyltransferase (ATP) activity
Papss1	ATP binding
Papss1	selenate adenylyltransferase (ATP) activity
Alyref	Complete proteome
Alyref	Proteomics identification
Alyref	Reference proteome
Alyref	RNA transport
Alyref	mRNA surveillance pathway
Alyref	Spliceosome
Alyref	Herpes simplex infection
Alyref	regulation of DNA recombination
Alyref	osteoblast differentiation
Alyref	mRNA export from nucleus
Alyref	replication fork processing
Alyref	positive regulation of DNA-templated transcription
Alyref	 elongation
Alyref	viral mRNA export from host cell nucleus
Alyref	transcription export complex
Alyref	nuclear chromosome
Alyref	 telomeric region
Alyref	nucleus
Alyref	nucleoplasm
Alyref	membrane
Alyref	exon-exon junction complex
Alyref	intracellular membrane-bounded organelle
Alyref	extracellular exosome
Alyref	catalytic step 2 spliceosome
Alyref	nucleotide binding
Alyref	nucleic acid binding
Alyref	single-stranded DNA binding
Alyref	RNA binding
Alyref	poly(A) RNA binding
Celf1	Acetylation
Celf1	Activator
Celf1	Complete proteome
Celf1	Cytoplasm
Celf1	mRNA processing
Celf1	mRNA splicing
Celf1	Nucleus
Celf1	Phosphoprotein
Celf1	Reference proteome
Celf1	Repeat
Celf1	RNA-binding
Celf1	mRNA splice site selection
Celf1	spermatid development
Celf1	positive regulation of multicellular organism growth
Celf1	regulation of RNA splicing
Celf1	nucleus
Celf1	nucleoplasm
Celf1	cytoplasm
Celf1	membrane
Celf1	nucleotide binding
Celf1	RNA binding
Celf1	mRNA binding
Celf1	translation initiation factor binding
Celf1	BRE binding
Celf1	poly(A) RNA binding
Dazap1	Complete proteome
Dazap1	Proteomics identification
Dazap1	Reference proteome
Dazap1	mRNA surveillance pathway
Dazap1	maternal placenta development
Dazap1	spermatogenesis
Dazap1	cell proliferation
Dazap1	positive regulation of mRNA splicing
Dazap1	 via spliceosome
Dazap1	nucleus
Dazap1	nucleoplasm
Dazap1	cytoplasm
Dazap1	polysome
Dazap1	nucleotide binding
Dazap1	RNA stem-loop binding
Dazap1	poly(A) RNA binding
Ddx1	Acetylation
Ddx1	Activator
Ddx1	ATP-binding
Ddx1	Complete proteome
Ddx1	Cytoplasm
Ddx1	DNA-binding
Ddx1	Exonuclease
Ddx1	Helicase
Ddx1	Hydrolase
Ddx1	mRNA processing
Ddx1	Nuclease
Ddx1	Nucleotide-binding
Ddx1	Nucleus
Ddx1	Phosphoprotein
Ddx1	Reference proteome
Ddx1	RNA-binding
Ddx1	Transcription
Ddx1	Transcription regulation
Ddx1	tRNA processing
Ddx1	double-strand break repair
Ddx1	transcription
Ddx1	 DNA-templated
Ddx1	regulation of transcription
Ddx1	 DNA-templated
Ddx1	tRNA splicing
Ddx1	 via endonucleolytic cleavage and ligation
Ddx1	mRNA processing
Ddx1	multicellular organism development
Ddx1	response to virus
Ddx1	RNA secondary structure unwinding
Ddx1	DNA duplex unwinding
Ddx1	response to exogenous dsRNA
Ddx1	nucleic acid phosphodiester bond hydrolysis
Ddx1	protein localization to cytoplasmic stress granule
Ddx1	nucleus
Ddx1	nucleoplasm
Ddx1	cytoplasm
Ddx1	cytoplasmic stress granule
Ddx1	membrane
Ddx1	intracellular ribonucleoprotein complex
Ddx1	cleavage body
Ddx1	tRNA-splicing ligase complex
Ddx1	nucleic acid binding
Ddx1	DNA binding
Ddx1	chromatin binding
Ddx1	transcription cofactor activity
Ddx1	double-stranded RNA binding
Ddx1	ATP-dependent RNA helicase activity
Ddx1	nuclease activity
Ddx1	exonuclease activity
Ddx1	ATP binding
Ddx1	ATP-dependent helicase activity
Ddx1	poly(A) binding
Ddx1	DNA/RNA helicase activity
Ddx1	poly(A) RNA binding
Ddx17	ATP-binding
Ddx17	Complete proteome
Ddx17	Helicase
Ddx17	Hydrolase
Ddx17	Nucleotide-binding
Ddx17	Proteomics identification
Ddx17	Reference proteome
Ddx17	post-embryonic development
Ddx17	RNA secondary structure unwinding
Ddx17	positive regulation of intracellular estrogen receptor signaling pathway
Ddx17	positive regulation of transcription
Ddx17	 DNA-templated
Ddx17	positive regulation of transcription from RNA polymerase II promoter
Ddx17	cardiovascular system development
Ddx17	regulation of skeletal muscle cell differentiation
