gene	group1	group3	group4	group5	na_count
Elavl1	RBP	mRNA binding	NA	NA	2
Hnrnpa0	RBP	mRNA binding	NA	NA	2
Ybx3	RBP	mRNA binding	NA	NA	2
Cirbp	RBP	mRNA binding	NA	NA	2
Igf2bp1	RBP	mRNA binding	NA	NA	2
Elavl1	RBP	mRNA binding	mRNA stability	NA	1
Hnrnpa0	RBP	mRNA binding	mRNA stability	NA	1
Ybx3	RBP	mRNA binding	mRNA stability	NA	1
Cirbp	RBP	mRNA binding	mRNA stability	NA	1
Igf2bp1	RBP	mRNA binding	mRNA stability	NA	1
Khsrp	RBP	mRNA binding	NA	NA	2
Upf1	RBP	mRNA binding	NA	NA	2
Hnrnpd	RBP	mRNA binding	NA	NA	2
Khsrp	RBP	mRNA binding	mRNA degradation	NA	1
Upf1	RBP	mRNA binding	mRNA degradation	NA	1
Hnrnpd	RBP	mRNA binding	mRNA degradation	NA	1
Rbm38	RBP	mRNA binding	mRNA stability	NA	1
Tardbp	RBP	mRNA binding	mRNA stability	NA	1
Hnrnpc	RBP	mRNA binding	mRNA stability	NA	1
Ptbp1	RBP	mRNA binding	mRNA stability	NA	1
Igf2bp2	RBP	mRNA binding	NA	NA	2
Aco1	RBP	mRNA binding	NA	NA	2
Rbm3	RBP	NA	NA	NA	3
Serbp1	RBP	NA	NA	NA	3
Ybx3	RBP	NA	NA	NA	3
Fmr1	RBP	NA	NA	NA	3
Hnrnpa2b1	RBP	NA	NA	NA	3
Hnrnpa3	RBP	NA	NA	NA	3
Hnrnpd	RBP	NA	NA	NA	3
Hnrnph1	RBP	NA	NA	NA	3
Hnrnpl	RBP	NA	NA	NA	3
Hnrnpm	RBP	NA	NA	NA	3
Ilf3	RBP	NA	NA	NA	3
Npm1	RBP	NA	NA	NA	3
Puf60	RBP	NA	NA	NA	3
Ptbp1	RBP	NA	NA	NA	3
Pdcd4	RBP	NA	NA	NA	3
Pa2g4	RBP	NA	NA	NA	3
Srsf5	RBP	NA	NA	NA	3
Tdrd7	RBP	NA	NA	NA	3
Zc3h18	RBP	NA	NA	NA	3
Aars	RBP	ncRNA binding	tRNA binding	NA	1
Eprs	RBP	ncRNA binding	tRNA binding	NA	1
Mars	RBP	ncRNA binding	tRNA binding	NA	1
Yars	RBP	ncRNA binding	tRNA binding	NA	1
Ddx1	RBP	NA	NA	NA	3
Ddx17	RBP	NA	NA	NA	3
Ddx3x	RBP	NA	NA	NA	3
Ddx42	RBP	NA	NA	NA	3
Ddx5	RBP	NA	NA	NA	3
Ddx6	RBP	NA	NA	NA	3
Dhx36	RBP	NA	NA	NA	3
Ddx21	RBP	NA	NA	NA	3
Ddx39b	RBP	NA	NA	NA	3
Dhx9	RBP	NA	NA	NA	3
Upf1	RBP	NA	NA	NA	3
