gene	P1_epi1	P1_epi2	P1_epi3	P1_fiber1	P1_fiber2	P1_fiber3	E18_epi1	E18_epi2	E18_epi3	E18_fiber1	E18_fiber2	E18_fiber3	E16_epi1	E16_epi2	E16_epi3	E16_fiber1	E16_fiber2	E16_fiber3	E14_epi1	E14_epi2	E14_epi3	E14_fiber1	E14_fiber2	E14_fiber3
0610007P14Rik	14.4414	13.707	16.2196	8.18884	9.49807	8.56451	15.1215	15.6144	16.936	9.9485	9.62463	10.9579	16.643	16.2273	17.7107	12.8629	14.2253	12.2632	16.1196	16.6002	19.2815	13.4216	15.8907	14.1594
0610009B22Rik	13.413	12.6782	14.2948	25.8553	32.8359	24.5503	13.8966	12.7718	10.9058	22.064	32.5351	25.7054	16.5362	13.9671	14.7917	25.3276	24.036	21.7733	13.4498	11.0755	10.303	21.78	23.9383	21.6793
0610009L18Rik	2.80355	3.24845	3.88368	4.81188	5.81195	4.43554	3.04548	1.74303	2.8491	4.99881	5.0393	6.03366	2.67806	2.91819	1.51963	3.41333	6.19319	2.76014	3.08013	1.26287	0.718501	4.07818	5.35485	3.82257
0610009O20Rik	12.3372	13.052	11.8295	17.2171	15.8101	18.1924	13.3718	12.3081	11.0409	16.1774	15.8975	16.5856	11.7426	12.0623	12.9941	16.6875	13.5333	15.4432	12.7566	12.4904	14.2809	15.5785	16.5631	17.0954
0610010F05Rik	3.97619	3.92353	3.68921	4.3627	4.46021	5.46655	3.78891	3.06954	4.25431	3.62804	4.11753	4.49968	3.9051	3.66039	4.0586	5.80349	5.00231	5.83385	5.0038	4.37767	4.91372	5.63643	5.22056	5.60375
0610010K14Rik	16.3197	24.137	21.6133	10.8731	13.243	10.6614	23.8742	22.2356	19.3312	11.3672	12.6877	12.0646	20.6327	24.9439	20.5867	14.6384	17.5177	11.5932	23.9352	22.2125	29.7513	16.3409	15.4075	12.9915
0610012G03Rik	6.6646	6.57235	8.42854	19.4612	17.7455	17.0641	7.37654	6.70658	6.37478	14.0181	15.5046	16.0965	6.03431	6.99828	6.736	12.6743	12.2894	10.8105	7.17484	7.05112	8.40254	12.418	12.5554	11.9341
0610030E20Rik	4.87826	4.58157	4.74238	2.80544	3.22002	2.80681	5.50275	5.15171	4.53923	2.95082	2.22632	2.98393	5.44255	5.06497	5.18202	2.84377	3.48268	3.45478	5.79818	5.99277	5.9861	3.26785	3.47781	3.35311
0610037L13Rik	12.9565	13.5329	14.4656	29.4895	28.1875	25.8052	10.6863	14.2809	12.0562	24.7934	23.4413	25.603	13.9035	14.2676	13.0945	24.4491	27.026	20.2375	12.2693	12.1358	13.3906	22.0915	21.1378	23.1597
0610040B10Rik	2.22947	3.05008	1.59998	8.84821	6.18108	4.92053	1.57037	0.676298	1.03124	4.488	4.6291	3.79338	2.72387	2.40614	2.64052	2.55824	4.54258	3.59942	1.41543	1.73631	1.09764	4.93138	5.6038	3.9754
1110002L01Rik	3.65706	3.79472	4.27608	7.25288	7.2634	7.50489	4.6347	3.75108	4.67998	8.18861	7.42535	7.34021	5.92748	5.76839	4.95403	8.05473	7.78384	9.35581	4.75349	5.20365	4.58778	8.6666	8.19033	7.99055
1110004E09Rik	8.8405	11.1426	10.323	26.1477	26.0718	20.1413	8.22873	10.3701	10.1442	17.928	19.0464	19.8699	10.4099	8.63966	9.41112	21.6692	22.3211	20.3136	10.4054	8.7895	11.7464	17.9389	17.9798	17.7092
1110004F10Rik	23.7801	28.1846	22.974	21.741	21.8331	21.9533	24.703	24.0643	23.0854	17.4395	19.7973	21.371	26.0883	27.1207	24.2032	21.4017	24.8171	21.9415	28.574	28.9783	27.2952	23.5202	22.4235	23.2455
1110006O24Rik	2.04291	1.35275	1.23317	1.52079	1.85481	1.02922	1.33874	1.56636	0.689614	0.410229	0.683355	1.11181	1.32637	2.11053	2.57532	0.816684	0.501071	1.28588	1.81533	0.584516	2.62437	2.12054	1.25273	0.951603
