ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Alyref	Aly/REF export factor(Alyref)	Mus musculus	NA	NA	GO:0006397~mRNA processing,GO:0006810~transport,GO:0008380~RNA splicing,GO:0051028~mRNA transport,	GO:0005634~nucleus,GO:0005681~spliceosomal complex,GO:0005737~cytoplasm,GO:0016607~nuclear speck,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003697~single-stranded DNA binding,GO:0003723~RNA binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,IPR025715:Friend of PRMT1 duplication,	mmu03013:RNA transport,mmu03015:mRNA surveillance pathway,mmu03040:Spliceosome,mmu05168:Herpes simplex infection,	NA	SM00360:RRM,SM01218:SM01218,	3D-structure,Acetylation,Alternative splicing,Chaperone,Citrullination,Complete proteome,Cytoplasm,Methylation,mRNA processing,mRNA splicing,mRNA transport,Nucleus,Phosphoprotein,Reference proteome,RNA-binding,Spliceosome,Transport,	chain:THO complex subunit 4,compositionally biased region:Ala/Arg/Gly-rich,domain:RRM,helix,modified residue,splice variant,strand,
Celf1	CUGBP, Elav-like family member 1(Celf1)	Mus musculus	NA	NA	GO:0006376~mRNA splice site selection,GO:0006397~mRNA processing,GO:0007286~spermatid development,GO:0008380~RNA splicing,GO:0040018~positive regulation of multicellular organism growth,GO:0043484~regulation of RNA splicing,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016020~membrane,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0003729~mRNA binding,GO:0031369~translation initiation factor binding,GO:0042835~BRE binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,	NA	NA	SM00360:RRM,	Acetylation,Activator,Alternative splicing,Complete proteome,Cytoplasm,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,RNA-binding,	chain:CUG-BP- and ETR-3-like factor 1,compositionally biased region:Ser-rich,domain:RRM 1,domain:RRM 2,domain:RRM 3,modified residue,mutagenesis site,sequence conflict,splice variant,
Dazap1	DAZ associated protein 1(Dazap1)	Mus musculus	NA	NA	GO:0001893~maternal placenta development,GO:0007275~multicellular organism development,GO:0007283~spermatogenesis,GO:0008283~cell proliferation,GO:0030154~cell differentiation,GO:0048026~positive regulation of mRNA splicing, via spliceosome,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005844~polysome,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0035613~RNA stem-loop binding,GO:0044822~poly(A) RNA binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,	mmu03015:mRNA surveillance pathway,	NA	SM00360:RRM,	Acetylation,Alternative splicing,Complete proteome,Cytoplasm,Developmental protein,Differentiation,Methylation,Nucleus,Proteomics identification,Reference proteome,Repeat,RNA-binding,Spermatogenesis,	chain:DAZ-associated protein 1,compositionally biased region:Pro-rich,domain:RRM 1,domain:RRM 2,modified residue,sequence conflict,splice variant,
Ddx1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1(Ddx1)	Mus musculus	NA	NA	GO:0006302~double-strand break repair,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006388~tRNA splicing, via endonucleolytic cleavage and ligation,GO:0006397~mRNA processing,GO:0007275~multicellular organism development,GO:0008033~tRNA processing,GO:0009615~response to virus,GO:0010501~RNA secondary structure unwinding,GO:0032508~DNA duplex unwinding,GO:0043330~response to exogenous dsRNA,GO:1903608~protein localization to cytoplasmic stress granule,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0010494~cytoplasmic stress granule,GO:0016020~membrane,GO:0030529~intracellular ribonucleoprotein complex,GO:0071920~cleavage body,GO:0072669~tRNA-splicing ligase complex,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003712~transcription cofactor activity,GO:0003723~RNA binding,GO:0003725~double-stranded RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0004518~nuclease activity,GO:0004527~exonuclease activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008026~ATP-dependent helicase activity,GO:0008143~poly(A) binding,GO:0016787~hydrolase activity,GO:0033677~DNA/RNA helicase activity,GO:0044822~poly(A) RNA binding,	IPR001650:Helicase, C-terminal,IPR001870:B30.2/SPRY domain,IPR003877:SPla/RYanodine receptor SPRY,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	NA	NA	SM00449:SPRY,SM00487:DEXDc,SM00490:HELICc,	Acetylation,Activator,ATP-binding,Complete proteome,Cytoplasm,DNA-binding,Exonuclease,Helicase,Hydrolase,mRNA processing,Nuclease,Nucleotide-binding,Nucleus,Phosphoprotein,Reference proteome,RNA-binding,Transcription,Transcription regulation,tRNA processing,	chain:ATP-dependent RNA helicase DDX1,domain:B30.2/SPRY,domain:Helicase ATP-binding,domain:Helicase C-terminal,modified residue,nucleotide phosphate-binding region:ATP,short sequence motif:DEAD box,
Ddx17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17(Ddx17)	Mus musculus	NA	NA	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0009791~post-embryonic development,GO:0010501~RNA secondary structure unwinding,GO:0033148~positive regulation of intracellular estrogen receptor signaling pathway,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0072358~cardiovascular system development,GO:2001014~regulation of skeletal muscle cell differentiation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0016020~membrane,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003713~transcription coactivator activity,GO:0003723~RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0030331~estrogen receptor binding,GO:0044822~poly(A) RNA binding,	IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site,IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	NA	NA	SM00487:DEXDc,SM00490:HELICc,	Alternative splicing,ATP-binding,Complete proteome,Helicase,Hydrolase,Isopeptide bond,Methylation,Nucleotide-binding,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,RNA-binding,Transcription,Transcription regulation,Ubl conjugation,	chain:Probable ATP-dependent RNA helicase DDX17,domain:Helicase ATP-binding,domain:Helicase C-terminal,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,short sequence motif:DEAD box,short sequence motif:Q motif,splice variant,
Ddx19a	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19a(Ddx19a)	Mus musculus	NA	NA	GO:0006406~mRNA export from nucleus,GO:0006810~transport,GO:0010501~RNA secondary structure unwinding,GO:0015031~protein transport,GO:0043065~positive regulation of apoptotic process,GO:0051028~mRNA transport,	GO:0005634~nucleus,GO:0005643~nuclear pore,GO:0005737~cytoplasm,GO:0016020~membrane,GO:0031965~nuclear membrane,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005524~ATP binding,GO:0016787~hydrolase activity,	IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	NA	NA	SM00487:DEXDc,SM00490:HELICc,	Acetylation,ATP-binding,Complete proteome,Cytoplasm,Helicase,Hydrolase,Isopeptide bond,Membrane,mRNA transport,Nuclear pore complex,Nucleotide-binding,Nucleus,Protein transport,Reference proteome,RNA-binding,Translocation,Transport,Ubl conjugation,	chain:ATP-dependent RNA helicase DDX19A,compositionally biased region:Poly-Glu,domain:Helicase ATP-binding,domain:Helicase C-terminal,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,short sequence motif:DEAD box,short sequence motif:Q motif,
Ddx21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21(Ddx21)	Mus musculus	NA	NA	GO:0001649~osteoblast differentiation,GO:0006351~transcription, DNA-templated,GO:0006364~rRNA processing,GO:0006366~transcription from RNA polymerase II promoter,GO:0009615~response to virus,GO:0010501~RNA secondary structure unwinding,GO:0043330~response to exogenous dsRNA,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0016020~membrane,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0003724~RNA helicase activity,GO:0003725~double-stranded RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0019843~rRNA binding,GO:0030515~snoRNA binding,GO:0044822~poly(A) RNA binding,GO:0097322~7SK snRNA binding,	IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR012562:GUCT,IPR012677:Nucleotide-binding, alpha-beta plait,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	NA	NA	SM00487:DEXDc,SM00490:HELICc,	3D-structure,Acetylation,ATP-binding,Complete proteome,Helicase,Hydrolase,Nucleotide-binding,Nucleus,Phosphoprotein,Reference proteome,Repeat,RNA-binding,rRNA processing,Transcription,	chain:Nucleolar RNA helicase 2,compositionally biased region:Poly-Lys,domain:Helicase ATP-binding,domain:Helicase C-terminal,modified residue,nucleotide phosphate-binding region:ATP,region of interest:3 X 37 AA tandem repeats,region of interest:3 X 5 AA repeats,repeat:1-1,repeat:1-2,repeat:1-3,repeat:2-1,repeat:2-2,repeat:2-3,sequence conflict,short sequence motif:DEVD box,short sequence motif:Q motif,
Ddx39b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B(Ddx39b)	Mus musculus	NA	NA	GO:0000245~spliceosomal complex assembly,GO:0000398~mRNA splicing, via spliceosome,GO:0001889~liver development,GO:0006397~mRNA processing,GO:0006406~mRNA export from nucleus,GO:0006810~transport,GO:0006974~cellular response to DNA damage stimulus,GO:0008380~RNA splicing,GO:0010468~regulation of gene expression,GO:0010501~RNA secondary structure unwinding,GO:0032786~positive regulation of DNA-templated transcription, elongation,GO:0045727~positive regulation of translation,GO:0046784~viral mRNA export from host cell nucleus,GO:0051028~mRNA transport,GO:0061051~positive regulation of cell growth involved in cardiac muscle cell development,GO:1904707~positive regulation of vascular smooth muscle cell proliferation,GO:2000002~negative regulation of DNA damage checkpoint,GO:2000573~positive regulation of DNA biosynthetic process,	GO:0000346~transcription export complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,GO:0005687~U4 snRNP,GO:0005688~U6 snRNP,GO:0005737~cytoplasm,GO:0016363~nuclear matrix,GO:0016607~nuclear speck,GO:0043234~protein complex,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005524~ATP binding,GO:0008186~RNA-dependent ATPase activity,GO:0016787~hydrolase activity,GO:0016887~ATPase activity,GO:0017070~U6 snRNA binding,GO:0030621~U4 snRNA binding,GO:0032403~protein complex binding,GO:0042802~identical protein binding,GO:0043008~ATP-dependent protein binding,GO:0044822~poly(A) RNA binding,	IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	mmu03013:RNA transport,mmu03015:mRNA surveillance pathway,mmu03040:Spliceosome,mmu05164:Influenza A,	NA	SM00487:DEXDc,SM00490:HELICc,	Acetylation,ATP-binding,Complete proteome,Cytoplasm,Direct protein sequencing,Helicase,Hydrolase,Isopeptide bond,mRNA processing,mRNA splicing,mRNA transport,Nucleotide-binding,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,RNA-binding,Spliceosome,Transport,Ubl conjugation,	chain:Spliceosome RNA helicase BAT1,domain:Helicase ATP-binding,domain:Helicase C-terminal,modified residue,nucleotide phosphate-binding region:ATP,short sequence motif:DECD box,short sequence motif:Q motif,
Ddx42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42(Ddx42)	Mus musculus	NA	NA	GO:0008104~protein localization,GO:0010501~RNA secondary structure unwinding,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0015030~Cajal body,GO:0016020~membrane,GO:0016607~nuclear speck,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003723~RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0044822~poly(A) RNA binding,	IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site,IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	mmu03040:Spliceosome,	NA	SM00487:DEXDc,SM00490:HELICc,	Acetylation,Alternative splicing,ATP-binding,Coiled coil,Complete proteome,Cytoplasm,Direct protein sequencing,Helicase,Hydrolase,Methylation,Nucleotide-binding,Nucleus,Phosphoprotein,Reference proteome,RNA-binding,	chain:ATP-dependent RNA helicase DDX42,compositionally biased region:Gly-rich,compositionally biased region:Poly-Asn,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Gly,compositionally biased region:Poly-Ser,domain:Helicase ATP-binding,domain:Helicase C-terminal,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,short sequence motif:DEAD box,short sequence motif:Q motif,splice variant,
Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5(Ddx5)	Mus musculus	m_akap95Pathway:AKAP95 role in mitosis and chromosome dynamics,	NA	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000381~regulation of alternative mRNA splicing, via spliceosome,GO:0001701~in utero embryonic development,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006397~mRNA processing,GO:0007623~circadian rhythm,GO:0008380~RNA splicing,GO:0009299~mRNA transcription,GO:0010501~RNA secondary structure unwinding,GO:0033148~positive regulation of intracellular estrogen receptor signaling pathway,GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator,GO:0045069~regulation of viral genome replication,GO:0045667~regulation of osteoblast differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048511~rhythmic process,GO:0060765~regulation of androgen receptor signaling pathway,GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator,GO:2001014~regulation of skeletal muscle cell differentiation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,GO:0005730~nucleolus,GO:0016020~membrane,GO:0030529~intracellular ribonucleoprotein complex,GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,GO:0071013~catalytic step 2 spliceosome,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003712~transcription cofactor activity,GO:0003713~transcription coactivator activity,GO:0003723~RNA binding,GO:0003724~RNA helicase activity,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0019899~enzyme binding,GO:0030331~estrogen receptor binding,GO:0036002~pre-mRNA binding,GO:0044822~poly(A) RNA binding,GO:0048306~calcium-dependent protein binding,GO:0050681~androgen receptor binding,	IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site,IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR012587:P68HR,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	mmu03040:Spliceosome,mmu05202:Transcriptional misregulation in cancer,mmu05205:Proteoglycans in cancer,	NA	SM00487:DEXDc,SM00490:HELICc,SM01414:SM01414,	Acetylation,ATP-binding,Biological rhythms,Complete proteome,Helicase,Hydrolase,Isopeptide bond,Methylation,mRNA processing,mRNA splicing,Nucleotide-binding,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,RNA-binding,Spliceosome,Transcription,Transcription regulation,Ubl conjugation,	chain:Probable ATP-dependent RNA helicase DDX5,domain:Helicase ATP-binding,domain:Helicase C-terminal,modified residue,nucleotide phosphate-binding region:ATP,short sequence motif:DEAD box,short sequence motif:Q motif,
