gene	ProteinNames	IntensityEpith	IntensityFibers	iBAQEpith	rankEpith	iBAQFibers	rankFibers	LFQEpith	LFQFibers	MsMsEpith	MsMsFibers	UniprotID	MGIGeneNames	Biologicalprocess	Cellularcomponent	Codingsequence diversity	Developmentalstage	Disease	Domain	Ligand	Molecularfunction	PTM	Technicalterm	BiologicalProcess	CellularComponent	MolecularFunction	CCPathway	PWMavailable	tissue	level	group
Gapdh	Glyceraldehyde-3-phosphate dehydrogenase	24024000000	16439000000	1501500000	35	1027500000	36	105980000000	134570000000	172	127	Gapdh	Gapdh	Apoptosis; Glycolysis; Translation regulation	Cytoplasm; Cytoskeleton; Nucleus	na	na	na	na	NAD	Oxidoreductase; Transferase	ADP-ribosylation; Acetylation; Isopeptide bond; Methylation; Phosphoprotein; S-nitrosylation; Ubl conjugation	na	antimicrobial humoral immune response mediated by antimicrobial peptide {GO:0061844}; cellular response to interferon-gamma {GO:0071346}; defense response to fungus {GO:0050832}; glucose metabolic process {GO:0006006}; glycolytic process {GO:0006096}; killing by host of symbiont cells {GO:0051873}; killing of cells of other organism {GO:0031640}; microtubule cytoskeleton organization {GO:0000226}; multicellular organism development {GO:0007275}; negative regulation of endopeptidase activity {GO:0010951}; negative regulation of translation {GO:0017148}; neuron apoptotic process {GO:0051402}; peptidyl-cysteine S-trans-nitrosylation {GO:0035606}; positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction {GO:0052501}; positive regulation of cytokine secretion {GO:0050715}; protein stabilization {GO:0050821}	cytoplasm {GO:0005737}; cytosol {GO:0005829}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; GAIT complex {GO:0097452}; intracellular membrane-bounded organelle {GO:0043231}; intracellular ribonucleoprotein complex {GO:0030529}; lipid droplet {GO:0005811}; membrane {GO:0016020}; microtubule cytoskeleton {GO:0015630}; mitochondrion {GO:0005739}; myelin sheath {GO:0043209}; nuclear membrane {GO:0031965}; nucleus {GO:0005634}; plasma membrane {GO:0005886}; vesicle {GO:0031982}	aspartic-type endopeptidase inhibitor activity {GO:0019828}; disordered domain specific binding {GO:0097718}; enzyme binding {GO:0019899}; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity {GO:0004365}; identical protein binding {GO:0042802}; microtubule binding {GO:0008017}; NAD binding {GO:0051287}; NADP binding {GO:0050661}; peptidyl-cysteine S-nitrosylase activity {GO:0035605}	Carbohydrate degradation; glycolysis; pyruvate from D- glyceraldehyde 3-phosphate: step 1/5.	TRUE	both	group3	mRNA binding
Gapdh	Glyceraldehyde-3-phosphate dehydrogenase	24024000000	16439000000	1501500000	35	1027500000	36	105980000000	134570000000	172	127	Gapdh	Gapdh	Apoptosis; Glycolysis; Translation regulation	Cytoplasm; Cytoskeleton; Nucleus	na	na	na	na	NAD	Oxidoreductase; Transferase	ADP-ribosylation; Acetylation; Isopeptide bond; Methylation; Phosphoprotein; S-nitrosylation; Ubl conjugation	na	antimicrobial humoral immune response mediated by antimicrobial peptide {GO:0061844}; cellular response to interferon-gamma {GO:0071346}; defense response to fungus {GO:0050832}; glucose metabolic process {GO:0006006}; glycolytic process {GO:0006096}; killing by host of symbiont cells {GO:0051873}; killing of cells of other organism {GO:0031640}; microtubule cytoskeleton organization {GO:0000226}; multicellular organism development {GO:0007275}; negative regulation of endopeptidase activity {GO:0010951}; negative regulation of translation {GO:0017148}; neuron apoptotic process {GO:0051402}; peptidyl-cysteine S-trans-nitrosylation {GO:0035606}; positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction {GO:0052501}; positive regulation of cytokine secretion {GO:0050715}; protein stabilization {GO:0050821}	cytoplasm {GO:0005737}; cytosol {GO:0005829}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; GAIT complex {GO:0097452}; intracellular membrane-bounded organelle {GO:0043231}; intracellular ribonucleoprotein complex {GO:0030529}; lipid droplet {GO:0005811}; membrane {GO:0016020}; microtubule cytoskeleton {GO:0015630}; mitochondrion {GO:0005739}; myelin sheath {GO:0043209}; nuclear membrane {GO:0031965}; nucleus {GO:0005634}; plasma membrane {GO:0005886}; vesicle {GO:0031982}	aspartic-type endopeptidase inhibitor activity {GO:0019828}; disordered domain specific binding {GO:0097718}; enzyme binding {GO:0019899}; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity {GO:0004365}; identical protein binding {GO:0042802}; microtubule binding {GO:0008017}; NAD binding {GO:0051287}; NADP binding {GO:0050661}; peptidyl-cysteine S-nitrosylase activity {GO:0035605}	Carbohydrate degradation; glycolysis; pyruvate from D- glyceraldehyde 3-phosphate: step 1/5.	TRUE	both	group3	mRNA binding
Eif5a	Eukaryotic translation initiation factor 5A-1	4769300000	5768400000	596160000	69	721050000	42	14160000000	24268000000	66	27	Eif5a	Eif5a	Protein biosynthesis; Protein transport; Translocation; Transport; mRNA transport	Cytoplasm; Endoplasmic reticulum; Membrane; Nuclear pore complex; Nucleus	na	na	na	na	na	Elongation factor; RNA-binding	Acetylation; Hypusine	na	aging {GO:0007568}; apoptotic process {GO:0006915}; cellular response to thyroid hormone stimulus {GO:0097067}; mRNA export from nucleus {GO:0006406}; negative regulation of apoptotic process {GO:0043066}; positive regulation of apoptotic process {GO:0043065}; positive regulation of cardiac muscle cell apoptotic process {GO:0010666}; positive regulation of cell proliferation {GO:0008284}; positive regulation of cytosolic calcium ion concentration {GO:0007204}; positive regulation of muscle cell differentiation {GO:0051149}; positive regulation of reactive oxygen species metabolic process {GO:2000379}; positive regulation of translational elongation {GO:0045901}; positive regulation of translational termination {GO:0045905}; protein export from nucleus {GO:0006611}; translational frameshifting {GO:0006452}	annulate lamellae {GO:0005642}; cytoplasm {GO:0005737}; dendrite {GO:0030425}; endoplasmic reticulum membrane {GO:0005789}; extracellular exosome {GO:0070062}; membrane {GO:0016020}; neuronal cell body {GO:0043025}; nuclear pore {GO:0005643}; nucleus {GO:0005634}	protein N-terminus binding {GO:0047485}; ribosome binding {GO:0043022}; RNA binding {GO:0003723}; translation elongation factor activity {GO:0003746}; U6 snRNA binding {GO:0017070}	na	FALSE	both	group3	mRNA binding
Eif5a	Eukaryotic translation initiation factor 5A-1	4769300000	5768400000	596160000	69	721050000	42	14160000000	24268000000	66	27	Eif5a	Eif5a	Protein biosynthesis; Protein transport; Translocation; Transport; mRNA transport	Cytoplasm; Endoplasmic reticulum; Membrane; Nuclear pore complex; Nucleus	na	na	na	na	na	Elongation factor; RNA-binding	Acetylation; Hypusine	na	aging {GO:0007568}; apoptotic process {GO:0006915}; cellular response to thyroid hormone stimulus {GO:0097067}; mRNA export from nucleus {GO:0006406}; negative regulation of apoptotic process {GO:0043066}; positive regulation of apoptotic process {GO:0043065}; positive regulation of cardiac muscle cell apoptotic process {GO:0010666}; positive regulation of cell proliferation {GO:0008284}; positive regulation of cytosolic calcium ion concentration {GO:0007204}; positive regulation of muscle cell differentiation {GO:0051149}; positive regulation of reactive oxygen species metabolic process {GO:2000379}; positive regulation of translational elongation {GO:0045901}; positive regulation of translational termination {GO:0045905}; protein export from nucleus {GO:0006611}; translational frameshifting {GO:0006452}	annulate lamellae {GO:0005642}; cytoplasm {GO:0005737}; dendrite {GO:0030425}; endoplasmic reticulum membrane {GO:0005789}; extracellular exosome {GO:0070062}; membrane {GO:0016020}; neuronal cell body {GO:0043025}; nuclear pore {GO:0005643}; nucleus {GO:0005634}	protein N-terminus binding {GO:0047485}; ribosome binding {GO:0043022}; RNA binding {GO:0003723}; translation elongation factor activity {GO:0003746}; U6 snRNA binding {GO:0017070}	na	FALSE	both	group3	mRNA binding
Eif5a	Eukaryotic translation initiation factor 5A-1	4769300000	5768400000	596160000	69	721050000	42	14160000000	24268000000	66	27	Eif5a	Eif5a	Protein biosynthesis; Protein transport; Translocation; Transport; mRNA transport	Cytoplasm; Endoplasmic reticulum; Membrane; Nuclear pore complex; Nucleus	na	na	na	na	na	Elongation factor; RNA-binding	Acetylation; Hypusine	na	aging {GO:0007568}; apoptotic process {GO:0006915}; cellular response to thyroid hormone stimulus {GO:0097067}; mRNA export from nucleus {GO:0006406}; negative regulation of apoptotic process {GO:0043066}; positive regulation of apoptotic process {GO:0043065}; positive regulation of cardiac muscle cell apoptotic process {GO:0010666}; positive regulation of cell proliferation {GO:0008284}; positive regulation of cytosolic calcium ion concentration {GO:0007204}; positive regulation of muscle cell differentiation {GO:0051149}; positive regulation of reactive oxygen species metabolic process {GO:2000379}; positive regulation of translational elongation {GO:0045901}; positive regulation of translational termination {GO:0045905}; protein export from nucleus {GO:0006611}; translational frameshifting {GO:0006452}	annulate lamellae {GO:0005642}; cytoplasm {GO:0005737}; dendrite {GO:0030425}; endoplasmic reticulum membrane {GO:0005789}; extracellular exosome {GO:0070062}; membrane {GO:0016020}; neuronal cell body {GO:0043025}; nuclear pore {GO:0005643}; nucleus {GO:0005634}	protein N-terminus binding {GO:0047485}; ribosome binding {GO:0043022}; RNA binding {GO:0003723}; translation elongation factor activity {GO:0003746}; U6 snRNA binding {GO:0017070}	na	FALSE	both	group3	mRNA binding
Eif5a	Eukaryotic translation initiation factor 5A-1	4769300000	5768400000	596160000	69	721050000	42	14160000000	24268000000	66	27	Eif5a	Eif5a	Protein biosynthesis; Protein transport; Translocation; Transport; mRNA transport	Cytoplasm; Endoplasmic reticulum; Membrane; Nuclear pore complex; Nucleus	na	na	na	na	na	Elongation factor; RNA-binding	Acetylation; Hypusine	na	aging {GO:0007568}; apoptotic process {GO:0006915}; cellular response to thyroid hormone stimulus {GO:0097067}; mRNA export from nucleus {GO:0006406}; negative regulation of apoptotic process {GO:0043066}; positive regulation of apoptotic process {GO:0043065}; positive regulation of cardiac muscle cell apoptotic process {GO:0010666}; positive regulation of cell proliferation {GO:0008284}; positive regulation of cytosolic calcium ion concentration {GO:0007204}; positive regulation of muscle cell differentiation {GO:0051149}; positive regulation of reactive oxygen species metabolic process {GO:2000379}; positive regulation of translational elongation {GO:0045901}; positive regulation of translational termination {GO:0045905}; protein export from nucleus {GO:0006611}; translational frameshifting {GO:0006452}	annulate lamellae {GO:0005642}; cytoplasm {GO:0005737}; dendrite {GO:0030425}; endoplasmic reticulum membrane {GO:0005789}; extracellular exosome {GO:0070062}; membrane {GO:0016020}; neuronal cell body {GO:0043025}; nuclear pore {GO:0005643}; nucleus {GO:0005634}	protein N-terminus binding {GO:0047485}; ribosome binding {GO:0043022}; RNA binding {GO:0003723}; translation elongation factor activity {GO:0003746}; U6 snRNA binding {GO:0017070}	na	FALSE	both	group3	mRNA binding
Eif5a	Eukaryotic translation initiation factor 5A-1	4769300000	5768400000	596160000	69	721050000	42	14160000000	24268000000	66	27	Eif5a	Eif5a	Protein biosynthesis; Protein transport; Translocation; Transport; mRNA transport	Cytoplasm; Endoplasmic reticulum; Membrane; Nuclear pore complex; Nucleus	na	na	na	na	na	Elongation factor; RNA-binding	Acetylation; Hypusine	na	aging {GO:0007568}; apoptotic process {GO:0006915}; cellular response to thyroid hormone stimulus {GO:0097067}; mRNA export from nucleus {GO:0006406}; negative regulation of apoptotic process {GO:0043066}; positive regulation of apoptotic process {GO:0043065}; positive regulation of cardiac muscle cell apoptotic process {GO:0010666}; positive regulation of cell proliferation {GO:0008284}; positive regulation of cytosolic calcium ion concentration {GO:0007204}; positive regulation of muscle cell differentiation {GO:0051149}; positive regulation of reactive oxygen species metabolic process {GO:2000379}; positive regulation of translational elongation {GO:0045901}; positive regulation of translational termination {GO:0045905}; protein export from nucleus {GO:0006611}; translational frameshifting {GO:0006452}	annulate lamellae {GO:0005642}; cytoplasm {GO:0005737}; dendrite {GO:0030425}; endoplasmic reticulum membrane {GO:0005789}; extracellular exosome {GO:0070062}; membrane {GO:0016020}; neuronal cell body {GO:0043025}; nuclear pore {GO:0005643}; nucleus {GO:0005634}	protein N-terminus binding {GO:0047485}; ribosome binding {GO:0043022}; RNA binding {GO:0003723}; translation elongation factor activity {GO:0003746}; U6 snRNA binding {GO:0017070}	na	FALSE	both	group3	pre-mRNA binding
Rpl12	60S ribosomal protein L12	5457900000	3170000000	606430000	66	352230000	63	17365000000	17666000000	50	30	Rpl12	Rpl12	na	na	na	na	na	na	na	RNA-binding; Ribonucleoprotein; Ribosomal protein	Acetylation; Isopeptide bond; Phosphoprotein; Ubl conjugation	3D-structure	ribosomal large subunit assembly {GO:0000027}; translation {GO:0006412}	cytoplasm {GO:0005737}; cytosolic large ribosomal subunit {GO:0022625}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; focal adhesion {GO:0005925}; membrane {GO:0016020}; nucleolus {GO:0005730}; nucleus {GO:0005634}	RNA binding {GO:0003723}; rRNA binding {GO:0019843}; structural constituent of ribosome {GO:0003735}	na	FALSE	both	group3	mRNA binding
Rpl12	60S ribosomal protein L12	5457900000	3170000000	606430000	66	352230000	63	17365000000	17666000000	50	30	Rpl12	Rpl12	na	na	na	na	na	na	na	RNA-binding; Ribonucleoprotein; Ribosomal protein	Acetylation; Isopeptide bond; Phosphoprotein; Ubl conjugation	3D-structure	ribosomal large subunit assembly {GO:0000027}; translation {GO:0006412}	cytoplasm {GO:0005737}; cytosolic large ribosomal subunit {GO:0022625}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; focal adhesion {GO:0005925}; membrane {GO:0016020}; nucleolus {GO:0005730}; nucleus {GO:0005634}	RNA binding {GO:0003723}; rRNA binding {GO:0019843}; structural constituent of ribosome {GO:0003735}	na	FALSE	both	group3	mRNA binding
Rpl12	60S ribosomal protein L12	5457900000	3170000000	606430000	66	352230000	63	17365000000	17666000000	50	30	Rpl12	Rpl12	na	na	na	na	na	na	na	RNA-binding; Ribonucleoprotein; Ribosomal protein	Acetylation; Isopeptide bond; Phosphoprotein; Ubl conjugation	3D-structure	ribosomal large subunit assembly {GO:0000027}; translation {GO:0006412}	cytoplasm {GO:0005737}; cytosolic large ribosomal subunit {GO:0022625}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; focal adhesion {GO:0005925}; membrane {GO:0016020}; nucleolus {GO:0005730}; nucleus {GO:0005634}	RNA binding {GO:0003723}; rRNA binding {GO:0019843}; structural constituent of ribosome {GO:0003735}	na	FALSE	both	group3	mRNA binding
