gene	keyTerm
Caprin2	mRNA pathway
Caprin2	mRNA transport
Caprin2	mRNA transport
Tdrd7	mRNA pathway
Tdrd7	mRNA processing
Tdrd7	translational regulation
Tdrd7	Stress response
Rbm38	mRNA pathway
Rbm38	mRNA stabilization
Rbm38	mRNA stability
Eif4a2	Translation
Eif4a2	initiation of translation
Eif4a2	initiation of translation
Larp4	mRNA pathway
Larp4	mRNA stabilization
Larp4	mRNA stability
Nudt5	Enzyme
Nudt5	putative RNA-binding
Nudt5	no RNA-binding
Nudt5	enzyme in nucleotide metabolism
Nudt5	putative RBP
Tdrkh	Putative RNA-binding
Tdrkh	putative RNA-binding protein
Tdrkh	Tudor domain
Tdrkh	putative RBP
Tnrc6b	miRNA pathway
Tnrc6b	RNA-binding (Cell 2012)
Tnrc6b	binds Argonaute
Tnrc6b	miRNA pathway
Thumpd3	mRNA pathway
Thumpd3	mRNA degradation (Genome Res. 2004)
Thumpd3	mRNA degradation
Dis3l2	miRNA pathway
Dis3l2	surveillance pathway for non-coding RNAs
Dis3l2	ncRNA pathway
Larp4b	Translation
Larp4b	RNA-binding
Larp4b	translational regulation
Larp4b	translational regulation
Eif4g3	Translation
Eif4g3	initiation of translation
Eif4g3	initiation of translation
Fam120a	mRNA pathway
Fam120a	mRNA stabilization
Fam120a	RNA-binding (Cell 2012)
Fam120a	Oxidative stress
Fam120a	mRNA stability
Fam120a	Stress response
Upf1	mRNA pathway
Upf1	mRNA transport and mRNA surveillance
Upf1	RNA helicase
Upf1	mRNA transport
Upf1	mRNA surveillance
Upf1	RNA helicase
Csde1	mRNA pathway
Csde1	mRNA stabilization and translation
Csde1	mRNA stability
Csde1	translational regulation
Dhx36	mRNA pathway
Dhx36	enzyme
Dhx36	mRNA degradation
Dhx36	RNA helicase
Dhx36	mRNA degradation
Dhx36	enzyme
Pcbp4	mRNA pathway
Pcbp4	mRNA stabilization
Pcbp4	binds p21 mRNA
Pcbp4	mRNA stability
Sf3b5	Splicing
Sf3b5	mRNA splicing
Sf3b5	mRNA splicing
Larp1	mRNA pathway
Larp1	mRNA stabilization
Larp1	mRNA stability
Rps11	Ribosomal protein
Rps11	ribosomal protein
Rps11	ribosomal protein
Celf1	mRNA pathway
Celf1	mRNA splicing
Celf1	Translation
Celf1	splicing and mRNA binding
Celf1	mRNA splicing
Celf1	mRNA degradation
Celf1	mRNA stability
Celf1	translational regulation
Xpot	tRNA pathway
Xpot	export of tRNAs
Xpot	tRNA pathway
Fbll1	rRNA pathway
Fbll1	enzyme
