gene	Groups	New annotation -initial data	category	biological_process	cellular_component	molecular_function	rankEpith	rankFibers	rankwhole	tissue	ranktissue
Caprin2	mRNA pathway	mRNA transport	mRNA transport	positive regulation of dendrite morphogenesis  (pubmed id: 20516077), positive regulation of dendritic spine morphogenesis  (pubmed id: 20516077)	NA	NA	2843	156	197	fibers	156
Tdrd7	mRNA pathway	mRNA processing	translational regulation, Stress response	germ cell development  (pubmed id: 17141210), lens fiber cell differentiation  (pubmed id: 21436445), lens morphogenesis in camera-type eye  (pubmed id: 21436445), spermatogenesis  (pubmed id: 21436445)	chromatoid body  (pubmed id: 17141210), cytoplasm  (pubmed id: 17141210), P granule  (pubmed id: 17141210), ribonucleoprotein complex  (pubmed id: 17141210)	protein binding  (pubmed id: 16787967)	2742	242	363	fibers	242
Rbm38	mRNA pathway	mRNA stabilization	mRNA stability	3'-UTR-mediated mRNA stabilization  (pubmed id: 21873635), mRNA processing  (pubmed id: 21873635), regulation of myotube differentiation  (pubmed id: 19817877)	cytosol  (pubmed id: 21873635), nucleus  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635)	mRNA 3'-UTR binding  (pubmed id: 21873635), mRNA binding  (pubmed id: 21873635; 19817877), RNA binding  (pubmed id: 21873635)	4952	341	587	fibers	341
Eif4a2	Translation	initiation of translation	initiation of translation	cellular response to leukemia inhibitory factor  (pubmed id: 20439489)	NA	NA	1976	741	1206	fibers	741
Larp4	mRNA pathway	mRNA stabilization	mRNA stability	NA	NA	NA	2369	831	791	fibers	831
Nudt5	Enzyme, putative RNA-binding	no RNA-binding, enzyme in nucleotide metabolism	putative RBP	nucleobase-containing compound metabolic process  (pubmed id: 10722730), nucleoside phosphate metabolic process  (pubmed id: 21873635), ribose phosphate metabolic process  (pubmed id: 21873635)	nucleus  (pubmed id: 21873635)	ADP-ribose diphosphatase activity  (pubmed id: 21873635), m7G(5')pppN diphosphatase activity  (pubmed id: 21070968), nucleoside-diphosphatase activity  (pubmed id: 10722730), snoRNA binding  (pubmed id: 21070968)	2981	1148	806	fibers	1148
Tdrkh	Putative RNA-binding	putative RNA-binding protein, Tudor domain	putative RBP	DNA methylation involved in gamete generation  (pubmed id: 23714778), fertilization  (pubmed id: 23714778), male meiotic nuclear division  (pubmed id: 23714778), piRNA metabolic process  (pubmed id: 23714778), spermatogenesis  (pubmed id: 23714778)	cytoplasm  (pubmed id: 19918066), mitochondrion  (pubmed id: 18614015; 23714778), pi-body  (pubmed id: 23714778), piP-body  (pubmed id: 23714778)	protein binding  (pubmed id: 19918066)	3079	1229	1522	fibers	1229
Tnrc6b	miRNA pathway	RNA-binding (Cell 2012), binds Argonaute	miRNA pathway	gene silencing by miRNA  (pubmed id: 21873635), positive regulation of nuclear-transcribed mRNA poly(A) tail shortening  (pubmed id: 21873635)	micro-ribonucleoprotein complex  (pubmed id: 21873635), nucleoplasm  (pubmed id: 21873635), P-body  (pubmed id: 21873635)	NA	4274	1286	1614	fibers	1286
Thumpd3	mRNA pathway	mRNA degradation (Genome Res. 2004)	mRNA degradation	tRNA methylation  (pubmed id: 21873635)	NA	tRNA (guanine) methyltransferase activity  (pubmed id: 21873635)	2147	1390	1799	fibers	1390
Dis3l2	miRNA pathway	surveillance pathway for non-coding RNAs	ncRNA pathway	miRNA catabolic process  (pubmed id: 21873635; 25119025; 23594738), stem cell population maintenance  (pubmed id: 23594738)	cytoplasm  (pubmed id: 23594738), exosome (RNase complex)  (pubmed id: 21873635), P-body  (pubmed id: 21873635)	3'-5'-exoribonuclease activity  (pubmed id: 21873635; 23594738), magnesium ion binding  (pubmed id: 25119025), poly(U) RNA binding  (pubmed id: 25119025), protein binding  (pubmed id: 23594738)	2474	1399	2106	fibers	1399
Larp4b	Translation	RNA-binding, translational regulation	translational regulation	NA	NA	NA	3178	1427	1955	fibers	1427
Eif4g3	Translation	initiation of translation	initiation of translation	positive regulation of meiosis I  (pubmed id: 20430745), positive regulation of protein phosphorylation  (pubmed id: 20430745), positive regulation of translation  (pubmed id: 20430745), spermatogenesis  (pubmed id: 20430745)	NA	mRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 19114715), translation initiation factor activity  (pubmed id: 21873635)	2802	1484	1646	fibers	1484
Fam120a	mRNA pathway	mRNA stabilization, RNA-binding (Cell 2012), Oxidative stress	mRNA stability, Stress response	NA	nucleus  (pubmed id: 21873635)	NA	2302	1499	1984	fibers	1499
Upf1	mRNA pathway	mRNA transport and mRNA surveillance, RNA helicase	mRNA transport, mRNA surveillance, RNA helicase	dosage compensation by inactivation of X chromosome  (pubmed id: 16789828), nonsense-mediated decay  (pubmed id: 21873635)	cytoplasm  (pubmed id: 21873635)	ATP-dependent RNA helicase activity  (pubmed id: 21873635), protein binding  (pubmed id: 23202588), RNA binding  (pubmed id: 21873635)	1844	1517	1766	fibers	1517
Csde1	mRNA pathway	mRNA stabilization and translation	mRNA stability, translational regulation	NA	mitochondrial inner membrane  (pubmed id: 12865426)	NA	2187	1588	1631	fibers	1588
