gene,category,comment,pmid,date
Aars,translational regulation,not verified,NA,2019-11-18T14:48:16Z
Aars,tRNA binding,"Alanyl-tRNA synthetase (AlaRS) specifically recognizes the major identity determinant, the G3:U70 base pair, in the acceptor stem of tRNAAla by both the tRNA-recognition and editing domains",19423669,2019-11-18T14:44:10Z
Aco1,mRNA stability,Iron regulatory protein 1 (IRP1) controls the translation or stability of several mRNAs by binding to iron responsive elements (IREs) within their untranslated regions.,18274988,2019-11-18T15:01:32Z
Aco1,Stress response,"IRP1 suppressed TfR1/DMT1 (+IRE) expression, limited the cellular iron content and decreased lactate dehydrogenase (LDH) release induced by hypoxia.",25727755,2019-11-18T14:50:43Z
Aco1,translational regulation,Iron regulatory protein 1 (IRP1) controls the translation or stability of several mRNAs by binding to iron responsive elements (IREs) within their untranslated regions.,18274988,2019-11-18T15:01:27Z
Aco1,translational regulation,IRP1 emerged as a key regulator of erythropoiesis and iron absorption by controlling hypoxia inducible factor 2α (HIF2α) mRNA translation,25120486,2019-11-18T14:54:48Z
Aimp1,tRNA binding,C‐terminal OB‐fold of AIMP1 binds tRNA species and contributes to the efficiency of translation,27714804,2019-11-19T15:25:44Z
Alyref,mRNA processing,important role of ALYREF in coordinating 3'-end processing and nuclear export of non-polyadenylated mRNAs,30858280,2019-11-19T15:27:30Z
Alyref,mRNA transport,important role of ALYREF in coordinating 3'-end processing and nuclear export of non-polyadenylated mRNAs,30858280,2019-11-19T15:27:27Z
Alyref,splicing,Alyref alters splicing decisions,31104896,2019-11-19T15:28:51Z
Apex1,mRNA degradation,"we and others showed that APE1: (i) binds, in vitro, structured RNA molecules via its 33 amino acids N-terminal domain17; (ii) cleaves abasic single-stranded RNA, taking part in RNA-decay dependent on its endonuclease activity; (iii) has 3ʹ-RNA phosphatase and 3ʹ-exoribonuclease activities; (iv) regulates c-Myc mRNA levels and half-life in tumor cells",28986522,2019-11-19T15:40:30Z
