ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Papss1	3'-phosphoadenosine 5'-phosphosulfate synthase 1(Papss1)	Rattus norvegicus		GO:0000103~sulfate assimilation,GO:0001887~selenium compound metabolic process,GO:0016310~phosphorylation,GO:0050428~3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,	GO:0005829~cytosol,	GO:0004020~adenylylsulfate kinase activity,GO:0004781~sulfate adenylyltransferase (ATP) activity,GO:0005524~ATP binding,GO:0098616~selenate adenylyltransferase (ATP) activity,	IPR002650:Sulphate adenylyltransferase,IPR002891:Adenylylsulphate kinase,IPR014729:Rossmann-like alpha/beta/alpha sandwich fold,IPR015947:PUA-like domain,IPR024951:Sulphate adenylyltransferase catalytic domain,IPR025980:ATP-sulfurylase PUA-like domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	rno00230:Purine metabolism,rno00450:Selenocompound metabolism,rno00920:Sulfur metabolism,rno01100:Metabolic pathways,rno01130:Biosynthesis of antibiotics,			Complete proteome,Proteomics identification,Reference proteome,
Alyref	Aly/REF export factor(Alyref)	Rattus norvegicus		GO:0000018~regulation of DNA recombination,GO:0001649~osteoblast differentiation,GO:0006406~mRNA export from nucleus,GO:0031297~replication fork processing,GO:0032786~positive regulation of DNA-templated transcription, elongation,GO:0046784~viral mRNA export from host cell nucleus,	GO:0000346~transcription export complex,GO:0000784~nuclear chromosome, telomeric region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016020~membrane,GO:0035145~exon-exon junction complex,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,GO:0071013~catalytic step 2 spliceosome,	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0003697~single-stranded DNA binding,GO:0003723~RNA binding,GO:0044822~poly(A) RNA binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,	rno03013:RNA transport,rno03015:mRNA surveillance pathway,rno03040:Spliceosome,rno05168:Herpes simplex infection,		SM00360:RRM,	Complete proteome,Proteomics identification,Reference proteome,
Celf1	CUGBP, Elav-like family member 1(Celf1)	Rattus norvegicus		GO:0006376~mRNA splice site selection,GO:0007286~spermatid development,GO:0040018~positive regulation of multicellular organism growth,GO:0043484~regulation of RNA splicing,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016020~membrane,	GO:0000166~nucleotide binding,GO:0003723~RNA binding,GO:0003729~mRNA binding,GO:0031369~translation initiation factor binding,GO:0042835~BRE binding,GO:0044822~poly(A) RNA binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,			SM00360:RRM,	Acetylation,Activator,Complete proteome,Cytoplasm,mRNA processing,mRNA splicing,Nucleus,Phosphoprotein,Reference proteome,Repeat,RNA-binding,	chain:CUG-BP- and ETR-3-like factor 1,compositionally biased region:Poly-Ala,compositionally biased region:Ser-rich,domain:RRM 1,domain:RRM 2,domain:RRM 3,modified residue,
Dazap1	DAZ associated protein 1(Dazap1)	Rattus norvegicus		GO:0001893~maternal placenta development,GO:0007283~spermatogenesis,GO:0008283~cell proliferation,GO:0048026~positive regulation of mRNA splicing, via spliceosome,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005844~polysome,	GO:0000166~nucleotide binding,GO:0035613~RNA stem-loop binding,GO:0044822~poly(A) RNA binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,	rno03015:mRNA surveillance pathway,		SM00360:RRM,	Complete proteome,Proteomics identification,Reference proteome,
Ddx1	DEAD-box helicase 1(Ddx1)	Rattus norvegicus		GO:0006302~double-strand break repair,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006388~tRNA splicing, via endonucleolytic cleavage and ligation,GO:0006397~mRNA processing,GO:0007275~multicellular organism development,GO:0009615~response to virus,GO:0010501~RNA secondary structure unwinding,GO:0032508~DNA duplex unwinding,GO:0043330~response to exogenous dsRNA,GO:0090305~nucleic acid phosphodiester bond hydrolysis,GO:1903608~protein localization to cytoplasmic stress granule,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0010494~cytoplasmic stress granule,GO:0016020~membrane,GO:0030529~intracellular ribonucleoprotein complex,GO:0071920~cleavage body,GO:0072669~tRNA-splicing ligase complex,	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003712~transcription cofactor activity,GO:0003725~double-stranded RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0004518~nuclease activity,GO:0004527~exonuclease activity,GO:0005524~ATP binding,GO:0008026~ATP-dependent helicase activity,GO:0008143~poly(A) binding,GO:0033677~DNA/RNA helicase activity,GO:0044822~poly(A) RNA binding,	IPR001650:Helicase, C-terminal,IPR001870:B30.2/SPRY domain,IPR003877:SPla/RYanodine receptor SPRY,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,			SM00449:SPRY,SM00487:DEXDc,SM00490:HELICc,	Acetylation,Activator,ATP-binding,Complete proteome,Cytoplasm,DNA-binding,Exonuclease,Helicase,Hydrolase,mRNA processing,Nuclease,Nucleotide-binding,Nucleus,Phosphoprotein,Reference proteome,RNA-binding,Transcription,Transcription regulation,tRNA processing,	chain:ATP-dependent RNA helicase DDX1,domain:B30.2/SPRY,domain:Helicase ATP-binding,domain:Helicase C-terminal,modified residue,nucleotide phosphate-binding region:ATP,short sequence motif:DEAD box,
Ddx17	DEAD-box helicase 17(Ddx17)	Rattus norvegicus		GO:0009791~post-embryonic development,GO:0010501~RNA secondary structure unwinding,GO:0033148~positive regulation of intracellular estrogen receptor signaling pathway,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0072358~cardiovascular system development,GO:2001014~regulation of skeletal muscle cell differentiation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016020~membrane,	GO:0003676~nucleic acid binding,GO:0003713~transcription coactivator activity,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005524~ATP binding,GO:0030331~estrogen receptor binding,GO:0044822~poly(A) RNA binding,	IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site,IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,			SM00487:DEXDc,SM00490:HELICc,	ATP-binding,Complete proteome,Helicase,Hydrolase,Nucleotide-binding,Proteomics identification,Reference proteome,
Ddx19a	DEAD-box helicase 19A(Ddx19a)	Rattus norvegicus		GO:0010043~response to zinc ion,GO:0043065~positive regulation of apoptotic process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0016020~membrane,	GO:0003676~nucleic acid binding,GO:0005524~ATP binding,	IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,			SM00487:DEXDc,SM00490:HELICc,	Complete proteome,Proteomics identification,Reference proteome,
Ddx19b	DEAD-box helicase 19B(Ddx19b)	Rattus norvegicus			GO:0005634~nucleus,GO:0005635~nuclear envelope,GO:0005737~cytoplasm,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0003676~nucleic acid binding,GO:0005524~ATP binding,	IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,			SM00487:DEXDc,SM00490:HELICc,	Complete proteome,Proteomics identification,Reference proteome,
Ddx3x	DEAD-box helicase 3, X-linked(Ddx3x)	Rattus norvegicus		GO:0006413~translational initiation,GO:0007059~chromosome segregation,GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors,GO:0009615~response to virus,GO:0010468~regulation of gene expression,GO:0010501~RNA secondary structure unwinding,GO:0010628~positive regulation of gene expression,GO:0016055~Wnt signaling pathway,GO:0017148~negative regulation of translation,GO:0030307~positive regulation of cell growth,GO:0030308~negative regulation of cell growth,GO:0031333~negative regulation of protein complex assembly,GO:0032508~DNA duplex unwinding,GO:0034063~stress granule assembly,GO:0035556~intracellular signal transduction,GO:0042256~mature ribosome assembly,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043280~positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0045070~positive regulation of viral genome replication,GO:0045087~innate immune response,GO:0045727~positive regulation of translation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0045948~positive regulation of translational initiation,GO:0071243~cellular response to arsenic-containing substance,GO:0071470~cellular response to osmotic stress,GO:0097193~intrinsic apoptotic signaling pathway,GO:0098609~cell-cell adhesion,GO:1900087~positive regulation of G1/S transition of mitotic cell cycle,GO:1903608~protein localization to cytoplasmic stress granule,GO:2001243~negative regulation of intrinsic apoptotic signaling pathway,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005852~eukaryotic translation initiation factor 3 complex,GO:0005913~cell-cell adherens junction,GO:0010494~cytoplasmic stress granule,GO:0022627~cytosolic small ribosomal subunit,GO:0036464~cytoplasmic ribonucleoprotein granule,GO:0070062~extracellular exosome,	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0003924~GTPase activity,GO:0004003~ATP-dependent DNA helicase activity,GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005524~ATP binding,GO:0008134~transcription factor binding,GO:0008143~poly(A) binding,GO:0008190~eukaryotic initiation factor 4E binding,GO:0016887~ATPase activity,GO:0017111~nucleoside-triphosphatase activity,GO:0031369~translation initiation factor binding,GO:0035613~RNA stem-loop binding,GO:0043024~ribosomal small subunit binding,GO:0043273~CTPase activity,GO:0044822~poly(A) RNA binding,GO:0048027~mRNA 5'-UTR binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site,IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	rno04622:RIG-I-like receptor signaling pathway,rno05161:Hepatitis B,rno05203:Viral carcinogenesis,		SM00487:DEXDc,SM00490:HELICc,	ATP-binding,Complete proteome,Helicase,Hydrolase,Nucleotide-binding,Proteomics identification,Reference proteome,
Ddx42	DEAD-box helicase 42(Ddx42)	Rattus norvegicus		GO:0008104~protein localization,GO:0010501~RNA secondary structure unwinding,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016020~membrane,	GO:0004004~ATP-dependent RNA helicase activity,GO:0005524~ATP binding,GO:0044822~poly(A) RNA binding,	IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site,IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	rno03040:Spliceosome,		SM00487:DEXDc,SM00490:HELICc,	Coiled coil,Complete proteome,Proteomics identification,Reference proteome,
Ddx5	DEAD-box helicase 5(Ddx5)	Rattus norvegicus		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000381~regulation of alternative mRNA splicing, via spliceosome,GO:0001701~in utero embryonic development,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007623~circadian rhythm,GO:0009299~mRNA transcription,GO:0010501~RNA secondary structure unwinding,GO:0033148~positive regulation of intracellular estrogen receptor signaling pathway,GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator,GO:0045069~regulation of viral genome replication,GO:0045667~regulation of osteoblast differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060765~regulation of androgen receptor signaling pathway,GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator,GO:2001014~regulation of skeletal muscle cell differentiation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0016020~membrane,GO:0030529~intracellular ribonucleoprotein complex,GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,GO:0071013~catalytic step 2 spliceosome,	GO:0003676~nucleic acid binding,GO:0003712~transcription cofactor activity,GO:0003713~transcription coactivator activity,GO:0003724~RNA helicase activity,GO:0004004~ATP-dependent RNA helicase activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0019899~enzyme binding,GO:0030331~estrogen receptor binding,GO:0036002~pre-mRNA binding,GO:0044822~poly(A) RNA binding,GO:0048306~calcium-dependent protein binding,GO:0050681~androgen receptor binding,	IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site,IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR012587:P68HR,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	rno03040:Spliceosome,rno05202:Transcriptional misregulation in cancer,rno05205:Proteoglycans in cancer,		SM00487:DEXDc,SM00490:HELICc,SM01414:SM01414,	ATP-binding,Complete proteome,Helicase,Hydrolase,Nucleotide-binding,Proteomics identification,Reference proteome,
