1226	ENSG00000003756	2010-03-18	2010-04-24	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]	Homo sapiens	9606	RRMx2; Znf_C2H2x1	\N	\N	LUCA15; H37	\N	\N	P52756
1227	ENSG00000004139	2010-03-18	2010-04-24	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	Homo sapiens	9606	SAMx1	1	No evidence of RNA binding	SARM; SAMD2; KIAA0524	\N	\N	\N
1228	ENSG00000004534	2010-03-18	2010-04-24	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]	Homo sapiens	9606	RRMx2	\N	\N	DEF-3; 3G2; NY-LU-12; g16; DEF3	\N	\N	P78332
1229	ENSG00000005189	2010-03-18	2010-04-05		Putative RNA exonuclease NEF-sp (EC 3.1.-.-) [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]	Homo sapiens	9606	RRMx2	\N	\N		\N	\N	Q96IC2
1230	ENSG00000006047	2010-03-18	2010-04-24	YBX2	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]	Homo sapiens	9606	CSDx1	\N	\N	MSY2; CSDA3	\N	\N	Q9Y2T7
1231	ENSG00000009307	2010-03-18	2010-04-29	CSDE1	cold shock domain containing E1, RNA-binding [Source:HGNC Symbol;Acc:29905]	Homo sapiens	9606	CSDx5	\N	\N	D1S155E; UNR	\N	\N	O75534
1232	ENSG00000010803	2010-03-18	2010-04-29	SCMH1	sex comb on midleg homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19003]	Homo sapiens	9606	\N	1	No evidence of RNA binding	Scml3	\N	\N	\N
1233	ENSG00000011304	2010-03-18	2010-04-07	PTBP1	polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:9583]	Homo sapiens	9606	RRMx4	\N	\N	HNRPI; HNRNP-I; PTB2; PTB3; PTB-1; PTB4; pPTB	\N	2AD9; 2ADB; 2ADC	P26599
1234	ENSG00000014164	2010-03-18	2010-04-28	ZC3H3	zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:28972]	Homo sapiens	9606	Znf_CCCHx1	\N	\N	KIAA0150	\N	\N	Q8IXZ2
1235	ENSG00000015479	2010-03-18	2010-04-06	MATR3	matrin 3 [Source:HGNC Symbol;Acc:6912]	Homo sapiens	9606	RRMx2	\N	\N	KIAA0723; MGC9105	\N	\N	P43243
1236	ENSG00000020577	2010-03-18	2010-04-29	SAMD4A	sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:23023]	Homo sapiens	9606	SAMx1	\N	\N	KIAA1053; DKFZP434H0350; Smaug; SMG; SMGA; hSmaug1	\N	\N	Q9UPU9
1237	ENSG00000043462	2010-03-18	2010-04-29	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa) [Source:HGNC Symbol;Acc:6529]	Homo sapiens	9606	\N	1	No evidence of RNA binding	SLP-76	\N	\N	\N
1238	ENSG00000044524	2010-03-18	2010-04-29	EPHA3	EPH receptor A3 [Source:HGNC Symbol;Acc:3387]	Homo sapiens	9606	\N	1	No evidence of RNA binding	HEK; HEK4	\N	\N	\N
1239	ENSG00000047188	2010-03-18	2010-04-29	YTHDC2	YTH domain containing 2 [Source:HGNC Symbol;Acc:24721]	Homo sapiens	9606	YTHx1	\N	\N	FLJ2194; FLJ10053; DKFZp564A186	\N	\N	Q9H6S0
1240	ENSG00000047365	2010-03-18	2010-04-29	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:16924]	Homo sapiens	9606	\N	1	No evidence of RNA binding	PARX	\N	\N	\N
1241	ENSG00000047634	2010-03-18	2010-04-29	SCML1	sex comb on midleg-like 1 (Drosophila) [Source:HGNC Symbol;Acc:10580]	Homo sapiens	9606	\N	1	SAM domain		\N	\N	\N
1242	ENSG00000048740	2010-03-18	2010-03-30	CUGBP2	CUG triplet repeat, RNA binding protein 2 [Source:HGNC Symbol;Acc:2550]	Homo sapiens	9606	RRMx3	\N	\N		\N	\N	O95319
1243	ENSG00000055917	2010-03-18	2010-04-29	PUM2	pumilio homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:14958]	Homo sapiens	9606	PUMx1	\N	\N	PUMH2; KIAA0235	\N	\N	Q8TB72
1244	ENSG00000056586	2010-03-18	2010-04-28	RC3H2	ring finger and CCCH-type zinc finger domains 2 [Source:HGNC Symbol;Acc:21461]	Homo sapiens	9606	Znf_CCCHx1; Znf_RING	\N	\N	FLJ20301; FLJ20713; RNF164	\N	\N	Q9HBD1
1245	ENSG00000058673	2010-03-18	2010-04-28	ZC3H11A	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:29093]	Homo sapiens	9606	Znf_CCCHx3	\N	\N	KIAA0663	\N	\N	O75152
1246	ENSG00000059145	2010-03-18	2010-04-30		RING finger protein unkempt-like  [Source:UniProtKB/Swiss-Prot;Acc:Q9H9P5]	Homo sapiens	9606	\N	1	No evidence of RNA binding		\N	\N	\N
1247	ENSG00000059378	2010-03-18	2010-04-30	PARP12	poly (ADP-ribose) polymerase family, member 12 [Source:HGNC Symbol;Acc:21919]	Homo sapiens	9606	Znf_CCCHx3	\N	\N	FLJ22693; PARP-12; ZC3H1	\N	\N	Q9H0J9
1248	ENSG00000060138	2010-03-18	2010-04-24	CSDAP1	cold shock domain protein A pseudogene 1 [Source:HGNC Symbol;Acc:2429]	Homo sapiens	9606	CSDx1	1	duplicate ensid	dbpA; ZONAB; CSDA1	\N	\N	P16989
1249	ENSG00000060138	2010-03-18	2010-04-24	CSDA	cold shock domain protein A pseudogene 1 [Source:HGNC Symbol;Acc:2429]	Homo sapiens	9606	CSDx1	\N	\N	dbpA; ZONAB; CSDA1	\N	\N	P16989
1250	ENSG00000061936	2010-03-18	2010-04-30	SFRS8	splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila) [Source:HGNC Symbol;Acc:10790]	Homo sapiens	9606	SURPx2	\N	\N	SWAP	\N	\N	Q12872
1251	ENSG00000063046	2010-03-18	2010-05-01	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:3285]	Homo sapiens	9606	RRMx1	\N	\N		\N	\N	P23588
1252	ENSG00000063244	2010-03-18	2010-05-10	U2AF2	U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:23156]	Homo sapiens	9606	RRMx3	\N	\N	U2AF65	\N	2G4B	P26368
1253	ENSG00000064607	2010-03-18	2010-05-01	SFRS14	splicing factor, arginine/serine-rich 14 [Source:HGNC Symbol;Acc:18641]	Homo sapiens	9606	SURPx2	\N	\N	KIAA0365	\N	\N	Q8IX01
1254	ENSG00000064999	2010-03-18	2010-04-28	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:20961]	Homo sapiens	9606	\N	1	No evidence of RNA binding	KIAA0229	\N	\N	\N
1255	ENSG00000065526	2010-03-18	2010-05-01	SPEN	spen homolog, transcriptional regulator (Drosophila) [Source:HGNC Symbol;Acc:17575]	Homo sapiens	9606	RRMx4	0	DNA binding (PMID: 10451362)	KIAA0929; MINT; SHARP; RBM15C	\N	\N	Q96T58
1256	ENSG00000065548	2010-03-18	2010-04-28	ZC3H15	zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:29528]	Homo sapiens	9606	Znf_CCCHx2	\N	\N	LEREPO4	\N	\N	Q8WU90
1257	ENSG00000065978	2010-03-18	2010-04-24	YBX1	Y box binding protein 1 [Source:HGNC Symbol;Acc:8014]	Homo sapiens	9606	CSDx1	\N	also binds ssDNA sequence-specifically	YB-1; YB1; DBPB; NSEP-1; MDR-NF1; BP-8; CSDB; CSDA2	\N	\N	P67809
1258	ENSG00000066044	2010-03-18	2010-06-28	ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R) [Source:HGNC Symbol;Acc:3312]	Homo sapiens	9606	RRMx3	\N	\N	HuR; Hua; MelG	\N	\N	Q15717
1259	ENSG00000066654	2010-03-18	2010-05-01	THUMPD1	THUMP domain containing 1 [Source:HGNC Symbol;Acc:23807]	Homo sapiens	9606	THUMPx1	\N	\N	FLJ20274	\N	\N	Q9NXG2
1260	ENSG00000067596	2010-03-18	2010-05-01	DHX8	DEAH (Asp-Glu-Ala-His) box polypeptide 8 [Source:HGNC Symbol;Acc:2749]	Homo sapiens	9606	S1x1	0	RNA helicase, no evidence of sequence-specific binding	HRH1; PRP22; PRPF22	\N	\N	Q14562
1261	ENSG00000068784	2010-03-18	2010-05-01	SRBD1	S1 RNA binding domain 1 [Source:HGNC Symbol;Acc:25521]	Homo sapiens	9606	S1x1	\N	\N	FLJ10379	\N	\N	Q8N5C6
1262	ENSG00000070756	2010-03-18	2010-04-06	PABPC1	poly(A) binding protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:8554]	Homo sapiens	9606	RRMx4	\N	\N	PABP1; PABPL1	\N	1CVJ	P11940
1263	ENSG00000070886	2010-03-18	2010-04-29	EPHA8	EPH receptor A8 [Source:HGNC Symbol;Acc:3391]	Homo sapiens	9606	\N	1	No evidence of RNA binding	Hek3	\N	\N	\N
1264	ENSG00000071626	2010-03-18	2010-03-22	DAZAP1	DAZ associated protein 1 [Source:HGNC Symbol;Acc:2683]	Homo sapiens	9606	RRMx2	\N	\N	MGC19907	\N	\N	Q96EP5
1265	ENSG00000073282	2010-03-18	2010-05-01	TP63	tumor protein p63 [Source:HGNC Symbol;Acc:15979]	Homo sapiens	9606	\N	1	No evidence of RNA binding	p51; SHFM4; EEC3; p63; p73L; OFC8; KET; p73H; NBP; p53CP	\N	\N	\N
1266	ENSG00000073792	2010-03-18	2010-05-03	IGF2BP2	insulin-like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:28867]	Homo sapiens	9606	RRMx2; KHx4	\N	\N	IMP-2	\N	\N	Q9Y6M1
1267	ENSG00000075292	2010-03-18	2010-04-28	ZNF638	zinc finger protein 638 [Source:HGNC Symbol;Acc:17894]	Homo sapiens	9606	Znf_C2H2x2; RRMx2	0	dsDNA binding (PMID:8647861)	NP220; MGC26130; Zfp638	\N	\N	Q14966
1268	ENSG00000075856	2010-03-18	2010-05-21	SART3	squamous cell carcinoma antigen recognized by T cells 3 [Source:HGNC Symbol;Acc:16860]	Homo sapiens	9606	RRMx2; Lsmx1	\N	\N	KIAA0156; RP11-13G14	\N	\N	Q15020
1269	ENSG00000075975	2010-03-18	2010-07-14	MKRN2	makorin ring finger protein 2 [Source:HGNC Symbol;Acc:7113]	Homo sapiens	9606	Znf_CCCHx4; Znf_RINGx1	\N	\N	RNF62; HSPC070	\N	\N	Q9H000
1270	ENSG00000076053	2010-03-18	2010-04-07	RBM7	RNA binding motif protein 7 [Source:HGNC Symbol;Acc:9904]	Homo sapiens	9606	RRMx1	\N	\N		\N	\N	Q9Y580
1271	ENSG00000076067	2010-03-18	2010-04-28	RBMS2	RNA binding motif, single stranded interacting protein 2 [Source:HGNC Symbol;Acc:9909]	Homo sapiens	9606	RRMx2	0	possibly ssDNA binding (PMID: 7838710)	SCR3	\N	\N	Q15434
1272	ENSG00000076770	2010-03-18	2010-06-17	MBNL3	muscleblind-like 3 (Drosophila) [Source:HGNC Symbol;Acc:20564]	Homo sapiens	9606	Znf_CCCHx4	\N	\N	CHCR; FLJ11316; MBLX39; MBXL	\N	\N	Q9NUK0
